index,title,collection,author,solved,push_count,moves
1,Level 44,Microban,Unknown,true,1,R
2,Level 11,Microban II,Unknown,false,0,
3,Claire,SokEvo,Lee J Haywood,true,7,rddllUdrruulDrddrruLdllluurDurDrruLL
4,Autogenerated 6,Autogenerated,Yoshio Murase,false,0,
5,Handmade 2,Yoshio Murase Handmade,Unknown,false,0,
6,Vilka,GrigrSpecial,GRIGoRusha,false,0,
7,shuffle2,Holland,Unknown,true,29,UURRllUdddrUluuluurDRRurrddddlLuUddrruuLDuruulDrddlldLdlluRRluUluurDrRllDDuurrurrdLLrrddllULrdrruuullDrrddlUdrddlU
8,LOMA06-09,Aymeric Du Peloux,David Skinner,true,14,ruuLDuruulDrdddLuruulDrddldlluuuRRlldddrruUrULuurDlddddlluRdrUU
9,Cherta #56,Grigr2001,GRIGoRusha,true,20,lldDuurDldDDurrruuLullddddldRRdrUUdlluuuuurrdLulDDDrRllDldRRdrUUdlluuuurD
10,SE 647,Sven Egevad,Sven Egevad,false,0,
